"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"354627056144896000","","","","","2013-07-09 15:44:13 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at 幸楽苑 一箕町店 (会津若松市, 福島県) http://t.co/qNFl3eWUIY","http://4sq.com/12oJK9o"
"354569798761459712","354569588199002112","1468580610","","","2013-07-09 11:56:42 +0000","web","@araco_uu 何もしてないのに全部消えた"
"354569513624276993","","","","","2013-07-09 11:55:34 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","死"
"354569483664375808","","","","","2013-07-09 11:55:27 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","Dropboxの共有フォルダ全部吹っ飛んだヾ(｡╹ω╹｡)ノ"
"354564520481525761","","","","","2013-07-09 11:35:43 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","WordPressでLaTeXを使おう | ヨーグルト大学情報学部現代メディアコンテンツ科 http://t.co/iphxWpXpn3 やったぜ。","http://buff.ly/15tfoIa"
"354177435740286976","354177032294379520","130838979","","","2013-07-08 09:57:35 +0000","web","@Takabatake_Y んま"
"354176890304602115","","","","","2013-07-08 09:55:25 +0000","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ちゃんぷる http://t.co/o9bwTrD4xc","http://instagram.com/p/bgC29vRWOb/"
"353673668808818688","","","","","2013-07-07 00:35:48 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","真夏のゆゆ式みます (@ 郡山テアトル) http://t.co/PJQUgKxplQ","http://4sq.com/1a2ctYb"
"353192479434092548","","","","","2013-07-05 16:43:43 +0000","web","Cおもしろかった。TOEICなどない。"
"353157590290665472","353156774808924160","263691332","","","2013-07-05 14:25:05 +0000","web","@Araraak_xx いきます(^^ゞ"
"353156711382646784","","","","","2013-07-05 14:21:35 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","Cがおもしろいから明日のTOEIC休みたい"
